,Seats,Engine_(CC),Power_(bhp),Mileage_(kmpl),Brand,Year,Kilometers_Driven,Fuel_Type,Tranmission,Owner_Type,Price_(Lacs)
0,5,998.0,58.16,26.6,Maruti,2010,72000.0,CNG,Manual,First,11.27
1,5,1582.0,126.2,19.67,Hyundai,2015,41000.0,Diesel,Manual,First,80.5
2,5,1199.0,88.7,18.2,Honda,2011,46000.0,Petrol,Manual,First,28.98
3,7,1248.0,88.76,20.77,Maruti,2012,87000.0,Diesel,Manual,First,38.64
4,5,1968.0,140.8,15.2,Audi,2013,40670.0,Diesel,Automatic,Second,114.25
5,5,814.0,55.2,21.1,Hyundai,2012,75000.0,LPG,Manual,First,15.13
6,5,1461.0,63.1,23.08,Nissan,2013,86999.0,Diesel,Manual,First,22.54
7,8,2755.0,171.5,11.36,Toyota,2016,36000.0,Diesel,Automatic,First,112.7
8,5,1598.0,103.6,20.54,Volkswagen,2013,64430.0,Diesel,Manual,First,33.49
9,5,1248.0,74.0,22.3,Tata,2012,65932.0,Diesel,Manual,Second,12.56
10,5,1462.0,103.25,21.56,Maruti,2018,25692.0,Petrol,Manual,First,64.08
11,5,1497.0,116.3,16.8,Honda,2012,60000.0,Petrol,Automatic,First,28.92
12,5,1248.0,74.0,25.2,Maruti,2015,64424.0,Diesel,Manual,First,36.06
13,5,2179.0,187.7,12.7,Land,2014,72000.0,Diesel,Automatic,First,173.88
14,5,2179.0,115.0,6.274999999999997,Land,2012,85000.0,Diesel,Automatic,Second,112.7
15,7,2477.0,175.56,13.5,Mitsubishi,2014,110000.0,Diesel,Manual,First,96.6
16,5,1498.0,98.6,25.8,Honda,2016,58950.0,Diesel,Manual,First,34.78
17,5,1248.0,74.0,28.4,Maruti,2017,25000.0,Diesel,Manual,First,38.58
18,5,1461.0,83.8,20.45,Renault,2014,77469.0,Diesel,Manual,First,40.83
19,5,2143.0,167.62,14.84,Mercedes-Benz,2014,78500.0,Diesel,Automatic,First,180.32
20,5,1995.0,190.0,22.69,BMW,2014,32982.0,Diesel,Automatic,First,119.46
21,5,1248.0,88.5,23.65,Maruti,2015,55392.0,Diesel,Manual,Second,53.13
22,5,1984.0,177.01,13.53,Audi,2015,55985.0,Petrol,Automatic,First,151.34
23,5,1197.0,80.0,18.5,Hyundai,2010,45807.0,Petrol,Manual,First,12.04
24,5,1598.0,103.6,14.4,Volkswagen,2010,33000.0,Petrol,Automatic,First,18.35
25,5,1497.0,116.3,16.8,Honda,2012,51920.0,Petrol,Manual,First,27.37
26,5,1461.0,63.1,23.08,Nissan,2012,54000.0,Diesel,Manual,First,27.37
27,5,998.0,67.1,20.92,Maruti,2013,54000.0,Petrol,Manual,Second,17.71
28,5,1199.0,88.7,17.5,Honda,2018,37430.0,Petrol,Manual,First,63.76
29,7,2494.0,102.0,12.8,Toyota,2007,131500.0,Diesel,Manual,Fourth & Above,25.76
30,5,1461.0,108.45,19.01,Renault,2013,62000.0,Diesel,Manual,First,49.91
31,5,1798.0,138.1,14.53,Toyota,2012,87615.0,Petrol,Manual,First,43.47
32,7,2696.0,184.0,11.18,Mahindra,2013,72000.0,Diesel,Automatic,Second,80.5
